Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
DNAdamageoutput_1Nov.root,N/A,N/A,22,2.700000000000001e-20,301220.0,/user/home/ms23570/work/DaRT_RBE/DNA_damage/geometryFiles/sugarPos_n2_300nm_H75nm_R11nm_33hist_50deg.bin,M,M
EventNum,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
707,0.0668119419091334,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
708,0.1017680981015823,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
709,3.7471033604776673,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1117,0.4189089399647985,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1118,0.3627123604717918,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1119,0.26731360285212724,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1175,9.599195021290926,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1176,257.52215576822863,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
2279,0.22664655483110135,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2494,0.3451216222123722,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2495,0.4420238734156124,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3229,4.635578010704535,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3450,0.028542746612831998,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3451,0.08341478419764463,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4323,0.3910969692798014,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
4324,0.1907481776252186,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4325,0.29037287149611873,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4417,0.3074989822902879,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4418,0.35471282234196794,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4460,0.2295270212874909,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4681,0.06719262062984087,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4944,0.9434625865856423,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4945,0.6583533331917557,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5117,0.06016596826189419,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5332,0.3439159170894222,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5520,1.0255726459478287,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
5646,4.340788035036642,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5647,0.28483668364069786,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5975,0.08126203494719653,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6015,0.5929874296896879,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6549,1.3544624129445843e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6595,6.52793710950458,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7073,0.2616629302500082,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7654,0.17043136790047356,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7655,0.1041071530836872,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8582,0.33741883293008357,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8822,0.5661336954992809,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9331,0.1262287120880176,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9691,0.306239719869123,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9739,0.06407156975631173,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9740,0.09727006042814922,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9778,103.4363066440074,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
9779,143.01265709854533,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9993,0.2989097570499464,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10375,0.28263143996520784,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10644,0.2711425826997227,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10698,0.13709023557516742,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10790,80.8281730347564,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10791,50.11776329636306,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11075,0.6276041055411083,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11076,0.211998468518032,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11174,0.4177155418018132,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11194,0.7276897298964323,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11277,0.3943132322264588,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11278,0.23810579161464646,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11455,0.10935509143562668,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11711,0.3163873148789602,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11712,0.06711339900199997,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11766,0.39241599534921084,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11767,0.21686965348128318,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
